substation id,substation name,status,owner,kv_12_to_32,kv_33_to_92,kv_110_to_161,kv_220_to_287,kv_345_to_500,kv_500_dc,highest_kv,postal city,county,zip code,state
SS3001,N.N.,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Waterford,Stanislaus,95386,CA
SS3024,N.N.,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Lost Hills,Kern,93249,CA
SS3041,N.N.,Operational,SCE,0,0,YES,0,0,0,110kV to 161kV,Banning,Riverside,92220,CA
SS3072,N.N.,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Banning,Riverside,92220,CA
SS3076,N.N.,Operational,IID,0,YES,0,0,0,0,33kV to 92kV,Indio,Riverside,92201,CA
SS3078,N.N.,Operational,IID,0,YES,0,0,0,0,33kV to 92kV,Indio,Riverside,92201,CA
SS3079,N.N.,Operational,IID,0,YES,0,0,0,0,33kV to 92kV,Thermal,Riverside,92274,CA
SS3139,N.N.,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Burbank,Los Angeles,91506,CA
SS3140,N.N.,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Glendale,Los Angeles,91203,CA
SS3142,N.N.,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Glendale,Los Angeles,91204,CA
SS3143,N.N.,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Los Angeles,Los Angeles,90027,CA
SS3144,N.N.,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Los Angeles,Los Angeles,90065,CA
SS3145,N.N.,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Los Angeles,Los Angeles,90065,CA
SS3146,N.N.,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Los Angeles,Los Angeles,90042,CA
SS3166,N.N.,Operational,SCE,0,0,0,YES,0,0,220kV to 287kV,Manhattan Beach,Los Angeles,90266,CA
SS3221,N.N.,Operational,PG&E,0,YES,0,0,0,0,33kV to 92kV,San Mateo,San Mateo,94402,CA
SS3235,N.N.,Operational,PG&E,0,YES,0,0,0,0,33kV to 92kV,Livermore,Alameda,94551,CA
SS3238,N.N.,Operational,Other,0,0,YES,0,0,0,110kV to 161kV,Tracy,San Joaquin,95377,CA
SS3326,N.N.,Operational,Other,0,0,0,YES,0,0,220kV to 287kV,Desert Center,Riverside,92239,CA
SS3432,N.N.,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Burbank,Los Angeles,91505,CA
SS3433,N.N.,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Burbank,Los Angeles,91505,CA
SS3489,N.N.,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Likely,Modoc,96116,CA
SS3490,N.N.,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Mcarthur,Lassen,96056,CA
SS3585,N.N.,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Tehachapi,Kern,93561,CA
