zip,pop,state
92281,2859,06
92352,5729,06
92368,1100,06
92373,33264,06
92374,43633,06
94933,671,06
94941,32013,06
94971,288,06
94972,23,06
94924,1134,06
94920,12797,06
94949,17452,06
94956,1224,06
94002,27202,06
94107,29689,06
94109,56677,06
94115,35004,06
94124,35363,06
94130,3064,06
94133,26527,06
94502,14619,06
94507,15646,06
94514,1461,06
94523,35096,06
94539,52802,06
94544,79235,06
94005,4692,06
94019,20314,06
94024,23961,06
93210,18025,06
93243,1938,06
93250,16088,06
93257,76923,06
93262,63,06
93615,6513,06
93620,8889,06
93622,10395,06
93645,344,06
93650,3477,06
93512,313,06
93516,2335,06
93523,3700,06
93527,1618,06
93531,388,06
93534,39088,06
93553,1781,06
93554,64,06
93666,952,06
93675,3759,06
93721,7611,06
93722,83179,06
93901,27805,06
93920,1403,06
93950,15595,06
93239,1520,06
93241,16834,06
93255,556,06
93256,5939,06
93280,27698,06
93301,12028,06
93437,3379,06
93445,7383,06
93442,10976,06
93444,20775,06
93453,2953,06
93463,8025,06
93514,14412,06
93529,508,06
93541,226,06
93549,264,06
93562,1723,06
93268,17964,06
93271,2432,06
93954,472,06
93955,34395,06
93960,26610,06
95514,117,06
95550,71,06
95567,2066,06
95602,18063,06
95603,29244,06
95628,41121,06
90065,47887,06
90241,44143,06
90248,11512,06
90270,27454,06
90275,42421,06
90305,15397,06
90401,7256,06
90402,11866,06
90404,22819,06
90670,16578,06
90745,56821,06
90806,42817,06
90813,59000,06
90001,58975,06
90012,35913,06
90034,55652,06
90061,27646,06
90066,59394,06
90638,49383,06
90712,31063,06
90804,39344,06
90807,32067,06
90810,38579,06
90501,42335,06
90660,63380,06
90704,3922,06
90720,22389,06
90723,54776,06
90803,32389,06
90022,65890,06
90019,66245,06
90028,30734,06
92805,74413,06
92596,30573,06
92780,61660,06
92010,16131,06
92011,24382,06
92055,12120,06
92058,45894,06
92081,29405,06
92132,0,06
92134,280,06
92135,646,06
92140,3669,06
92145,2389,06
92147,551,06
92155,490,06
92222,0,06
92322,686,06
94030,22710,06
94037,2692,06
94103,28735,06
94104,546,06
94127,21423,06
94128,135,06
94129,3994,06
94501,63843,06
94525,3094,06
94549,29639,06
94560,46276,06
94568,54420,06
94619,24308,06
94804,41510,06
94925,9866,06
92386,2140,06
92397,4571,06
92549,2464,06
92563,68128,06
92591,41107,06
92610,14149,06
92624,6402,06
92629,26744,06
92649,34406,06
92701,53565,06
92675,37457,06
92683,91376,06
95634,3445,06
95646,76,06
95650,14059,06
95664,1589,06
95673,15753,06
95684,3384,06
93962,385,06
93272,4454,06
93308,53702,06
90037,65016,06
90041,29516,06
90048,22892,06
90057,49492,06
90067,2314,06
90068,20982,06
90069,20435,06
90210,19909,06
90221,52322,06
90232,14660,06
90240,26205,06
90247,47531,06
90274,25279,06
90293,12694,06
90301,37291,06
91006,33012,06
91011,20423,06
91201,23619,06
91302,26634,06
91901,18558,06
91902,20138,06
91934,267,06
91914,16357,06
91916,1962,06
91932,26701,06
91935,8332,06
91950,62639,06
90502,18188,06
90603,21299,06
90604,42063,06
90007,41716,06
90015,21801,06
90003,72741,06
90020,39102,06
90023,46780,06
90027,44686,06
90039,29589,06
90045,41149,06
90046,50587,06
90077,8993,06
90260,35161,06
90262,70936,06
90263,1846,06
90278,40649,06
90211,7969,06
90056,7795,06
90058,2758,06
90062,34422,06
90220,53703,06
90222,32850,06
90255,75560,06
90265,18389,06
90266,35573,06
90292,22490,06
90304,25591,06
90505,37641,06
92344,23003,06
92378,263,06
92385,202,06
92391,2479,06
92395,42741,06
92603,19650,06
92617,17086,06
92637,16228,06
92678,570,06
92394,35365,06
92544,48923,06
92067,8756,06
92250,8979,06
92364,0,06
92545,42248,06
92626,50541,06
92019,42400,06
93001,33185,06
93013,16644,06
93041,24506,06
93101,31624,06
93206,1970,06
93004,30502,06
93021,38063,06
93022,7232,06
93222,1481,06
93234,7260,06
93242,3541,06
93247,18522,06
93249,2088,06
91354,32096,06
91010,26601,06
91203,15000,06
91340,36227,06
91362,36062,06
91364,27340,06
91202,23317,06
91207,11371,06
91208,16049,06
91214,30654,06
91307,26595,06
91311,40420,06
94929,219,06
94065,12579,06
94066,43124,06
94086,49630,06
94304,3902,06
94110,74161,06
94112,85166,06
94132,31488,06
94511,2010,06
94513,62991,06
94533,75635,06
94061,39624,06
93402,16350,06
93429,111,06
93430,2947,06
93063,56651,06
93205,1384,06
93224,453,06
93226,180,06
93240,6343,06
93251,229,06
90621,35398,06
90640,63177,06
90650,105886,06
90002,53111,06
90005,39479,06
90011,109414,06
90014,8335,06
90026,69589,06
90033,47583,06
90038,27660,06
90040,12645,06
90044,96436,06
90808,38860,06
90680,30321,06
90701,16858,06
90802,39453,06
90805,96708,06
90004,61586,06
90605,40957,06
90606,32803,06
90703,50963,06
90732,22273,06
90740,24494,06
90742,699,06
90021,2922,06
90059,45952,06
90280,95103,06
90743,267,06
90405,28115,06
90706,77529,06
90018,53256,06
90250,96836,06
90601,33058,06
90254,19650,06
90710,28185,06
90073,916,06
90079,0,06
90089,3862,06
90090,0,06
90094,9368,06
90095,0,06
90506,0,06
90747,0,06
90755,11555,06
93252,2738,06
93270,5542,06
93291,57968,06
93304,49976,06
93306,73401,06
93307,84809,06
93420,30136,06
93454,40604,06
93458,57369,06
93461,1451,06
93536,72383,06
93546,9359,06
94070,31049,06
94105,9155,06
94121,43795,06
94301,17191,06
94303,48039,06
94305,15730,06
94403,44300,06
94572,10411,06
94579,22040,06
94589,30668,06
94603,34593,06
94605,43112,06
94612,16062,06
94706,21040,06
94923,846,06
94928,44103,06
94938,790,06
94939,7108,06
94945,19035,06
94964,3418,06
94512,16,06
94569,205,06
90831,0,06
94043,31488,06
94087,57219,06
94089,22313,06
94108,14550,06
94116,47823,06
94118,41468,06
94122,62131,06
94306,27549,06
94401,35414,06
94508,4298,06
94515,7436,06
94518,28428,06
94530,25754,06
94536,73855,06
94541,66056,06
94546,44272,06
94547,25343,06
94552,15412,06
94565,96081,06
94566,45910,06
93003,52272,06
93023,20231,06
93103,20353,06
93108,10896,06
93601,1726,06
93603,183,06
93928,820,06
93245,38606,06
93449,8116,06
93628,239,06
93652,426,06
93033,83782,06
93036,47442,06
93042,107,06
93043,184,06
93064,0,06
93220,58,06
93258,2075,06
93314,28590,06
93410,0,06
93519,22,06
93524,168,06
93558,40,06
94123,25941,06
94521,43103,06
94587,74601,06
94060,1081,06
94025,42788,06
94963,498,06
94085,23612,06
94158,7291,06
94503,20306,06
94505,16251,06
94516,148,06
94528,307,06
94531,43788,06
94534,38444,06
94548,501,06
94551,45753,06
94573,31,06
94575,1170,06
94582,42059,06
94597,22734,06
94613,861,06
94720,2971,06
94850,0,06
94957,1400,06
95010,9030,06
95046,6025,06
95076,86703,06
95117,29592,06
95118,32560,06
95122,57780,06
90010,3702,06
90024,50288,06
90025,47967,06
90029,37898,06
90201,102433,06
90031,38535,06
90035,28085,06
90063,52951,06
93635,40759,06
93640,12727,06
93646,10873,06
93647,10896,06
93653,1383,06
93657,34723,06
93703,33000,06
93725,26980,06
93436,56406,06
93441,1013,06
93452,795,06
93518,975,06
94517,13476,06
94545,32525,06
94556,16368,06
94574,8677,06
94583,35102,06
94586,899,06
94601,52299,06
94621,35287,06
94708,11455,06
94710,7461,06
94117,44239,06
94134,42471,06
94404,36905,06
94506,25258,06
94509,66933,06
94510,28262,06
94801,29958,06
94803,26165,06
94901,42482,06
94947,26573,06
94952,36184,06
94960,15725,06
94970,689,06
94542,14217,06
94550,50500,06
95387,710,06
95403,45355,06
95409,27312,06
95422,15550,06
95423,3757,06
95425,10586,06
95454,2198,06
95456,754,06
95459,618,06
95464,2538,06
95493,241,06
95525,1433,06
93592,77,06
93619,37463,06
93633,0,06
93636,12690,06
93723,13189,06
93730,11926,06
93943,0,06
93235,4198,06
93283,2343,06
93953,4117,06
93426,1604,06
93545,1899,06
93623,123,06
93611,48473,06
92114,70039,06
92115,65853,06
92120,29142,06
92122,48438,06
92154,86811,06
92220,33014,06
92233,7618,06
92274,15118,06
92308,41807,06
94063,34503,06
94553,49699,06
94602,29933,06
94608,30289,06
94609,22811,06
94922,603,06
94931,8601,06
94946,694,06
94950,134,06
94973,1342,06
94555,38388,06
94571,9784,06
94576,98,06
91344,53266,06
91730,71422,06
91764,54825,06
91775,25192,06
91790,45206,06
91977,63393,06
91020,8720,06
91030,25794,06
91104,37974,06
91205,37618,06
91007,34523,06
91042,26631,06
91206,34386,06
95694,10386,06
95703,938,06
95714,440,06
95762,42494,06
95817,13461,06
95819,19659,06
95824,30296,06
95843,46709,06
