pop,state,zip
2716,36,13606
4553,36,13452
649,36,13470
1009,36,13485
1774,36,13402
933,36,13420
4007,36,13602
1177,36,13635
2322,36,13612
3189,36,13411
3317,36,13417
1844,36,13433
1378,36,13464
5584,36,13326
31238,36,11793
40340,36,11801
7302,36,11933
954,36,11939
15145,36,11946
696,36,11960
5593,36,10282
38733,36,10301
15232,36,10307
59505,36,10460
44205,36,10465
15432,36,10470
21896,36,10471
173,36,10503
11027,36,10522
20715,36,10543
3454,36,10006
23411,36,10012
28709,36,10013
30738,36,10014
62435,36,10023
59001,36,10024
64264,36,10032
0,36,10112
0,36,10152
0,36,10177
53142,36,10306
50348,36,10461
8254,36,10504
2158,36,10511
24716,36,10512
13128,36,10528
12791,36,10530
29492,36,10598
7430,36,11963
6235,36,11971
223,36,11975
2153,36,11509
25178,36,11552
73488,36,11375
48489,36,11420
59296,36,11435
25869,36,11553
8181,36,11559
8696,36,11565
12390,36,11545
21965,36,11563
1080,36,11569
21275,36,11581
67094,36,11691
28149,36,11701
28556,36,11720
20558,36,11726
17352,36,11738
41938,36,11743
12919,36,11693
4121,36,11944
3655,36,11954
212,36,11956
784,36,11959
2054,36,11964
112425,36,11368
106717,36,11385
37458,36,11412
29219,36,11414
198,36,11430
10101,36,11518
27773,36,11542
2963,36,11548
8217,36,11558
6365,36,11560
5209,36,11579
21354,36,11694
3540,36,11697
15952,36,11703
27419,36,11729
3764,36,11732
18922,36,11747
14559,36,11751
53424,36,11758
21158,36,11768
45964,36,11772
40733,36,10705
9663,36,10709
1017,36,10931
4276,36,10963
10055,36,10970
189,36,10985
20010,36,10990
2808,36,10588
21854,36,10703
21935,36,10708
8244,36,10923
3467,36,10926
31619,36,10956
15517,36,10965
5433,36,10993
0,36,10172
42298,36,10305
90761,36,10314
47798,36,10451
71360,36,10463
43208,36,10475
5567,36,10502
31772,36,10562
10381,36,10510
4227,36,10524
4968,36,10532
18086,36,11754
24982,36,11795
782,36,11957
62823,36,11201
37845,36,11231
31927,36,11417
5981,36,11109
0,36,11351
0,36,11359
0,36,11424
0,36,11425
0,36,11451
2901,36,11549
0,36,11556
1027,36,11739
3345,36,11749
2952,36,11794
44,36,11931
43,36,11973
3785,36,11955
698,36,11958
264,36,11970
1171,36,11972
1996,36,11976
25068,36,11010
5728,36,11020
75451,36,11203
98660,36,11208
67040,36,11210
76527,36,11212
83835,36,11221
13244,36,11239
27246,36,11361
36806,36,11364
42443,36,11413
27403,36,11429
65791,36,11434
20077,36,11436
13401,36,11953
13330,36,11961
3058,36,11978
29846,36,11572
43408,36,11520
57652,36,11550
37662,36,11561
20991,36,11692
8311,36,11096
30800,36,11102
26119,36,11104
91972,36,11207
66295,36,11213
56308,36,11216
58882,36,11225
27602,36,11232
54540,36,11238
37190,36,11358
44983,36,11365
776,36,11547
37358,36,11554
4816,36,13605
1067,36,13325
595,36,13337
2519,36,13409
423,36,13437
42,36,13450
3031,36,13461
642,36,13473
3801,36,13033
1522,36,13052
1988,36,13063
29758,36,13090
1289,36,13122
3397,36,13132
2706,36,13143
12940,36,13209
6145,36,13211
811,36,13319
2102,36,13320
8075,36,13340
10,36,13353
3944,36,13354
7258,36,13403
710,36,13406
2346,36,13416
3518,36,13439
32949,36,13027
4057,36,13030
15451,36,13031
29223,36,13045
40,36,13062
2314,36,13076
2479,36,13092
15515,36,13104
94,36,13124
1986,36,13144
1147,36,13147
8208,36,13152
1539,36,13158
5348,36,13159
10559,36,13165
