pop,state,zip
41716,06,90007
21801,06,90015
72741,06,90003
39102,06,90020
46780,06,90023
44686,06,90027
29589,06,90039
41149,06,90045
50587,06,90046
8993,06,90077
35161,06,90260
70936,06,90262
1846,06,90263
40649,06,90278
7969,06,90211
7795,06,90056
2758,06,90058
34422,06,90062
53703,06,90220
32850,06,90222
75560,06,90255
18389,06,90265
35573,06,90266
22490,06,90292
25591,06,90304
37641,06,90505
23003,06,92344
263,06,92378
202,06,92385
2479,06,92391
42741,06,92395
19650,06,92603
17086,06,92617
16228,06,92637
570,06,92678
35365,06,92394
48923,06,92544
8756,06,92067
8979,06,92250
0,06,92364
42248,06,92545
50541,06,92626
42400,06,92019
33185,06,93001
16644,06,93013
24506,06,93041
31624,06,93101
1970,06,93206
30502,06,93004
38063,06,93021
7232,06,93022
1481,06,93222
7260,06,93234
3541,06,93242
18522,06,93247
2088,06,93249
32096,06,91354
26601,06,91010
15000,06,91203
36227,06,91340
36062,06,91362
27340,06,91364
23317,06,91202
11371,06,91207
16049,06,91208
30654,06,91214
26595,06,91307
40420,06,91311
219,06,94929
12579,06,94065
43124,06,94066
49630,06,94086
3902,06,94304
74161,06,94110
85166,06,94112
31488,06,94132
2010,06,94511
62991,06,94513
75635,06,94533
39624,06,94061
16350,06,93402
111,06,93429
2947,06,93430
56651,06,93063
1384,06,93205
453,06,93224
180,06,93226
6343,06,93240
229,06,93251
35398,06,90621
63177,06,90640
105886,06,90650
53111,06,90002
39479,06,90005
109414,06,90011
8335,06,90014
69589,06,90026
47583,06,90033
27660,06,90038
12645,06,90040
96436,06,90044
38860,06,90808
30321,06,90680
16858,06,90701
39453,06,90802
96708,06,90805
61586,06,90004
40957,06,90605
32803,06,90606
50963,06,90703
22273,06,90732
24494,06,90740
699,06,90742
2922,06,90021
45952,06,90059
95103,06,90280
267,06,90743
28115,06,90405
77529,06,90706
53256,06,90018
96836,06,90250
33058,06,90601
19650,06,90254
28185,06,90710
916,06,90073
0,06,90079
3862,06,90089
0,06,90090
9368,06,90094
0,06,90095
0,06,90506
0,06,90747
11555,06,90755
2738,06,93252
5542,06,93270
57968,06,93291
49976,06,93304
73401,06,93306
84809,06,93307
30136,06,93420
40604,06,93454
57369,06,93458
1451,06,93461
72383,06,93536
9359,06,93546
31049,06,94070
9155,06,94105
43795,06,94121
17191,06,94301
48039,06,94303
15730,06,94305
44300,06,94403
10411,06,94572
22040,06,94579
30668,06,94589
34593,06,94603
43112,06,94605
16062,06,94612
21040,06,94706
846,06,94923
44103,06,94928
790,06,94938
7108,06,94939
19035,06,94945
3418,06,94964
16,06,94512
205,06,94569
0,06,90831
31488,06,94043
57219,06,94087
22313,06,94089
14550,06,94108
47823,06,94116
41468,06,94118
62131,06,94122
27549,06,94306
35414,06,94401
4298,06,94508
7436,06,94515
28428,06,94518
25754,06,94530
73855,06,94536
66056,06,94541
44272,06,94546
25343,06,94547
15412,06,94552
96081,06,94565
45910,06,94566
52272,06,93003
20231,06,93023
20353,06,93103
10896,06,93108
1726,06,93601
183,06,93603
820,06,93928
38606,06,93245
8116,06,93449
239,06,93628
426,06,93652
83782,06,93033
47442,06,93036
107,06,93042
184,06,93043
0,06,93064
58,06,93220
2075,06,93258
28590,06,93314
0,06,93410
22,06,93519
168,06,93524
40,06,93558
25941,06,94123
43103,06,94521
74601,06,94587
1081,06,94060
42788,06,94025
498,06,94963
23612,06,94085
7291,06,94158
20306,06,94503
16251,06,94505
148,06,94516
307,06,94528
43788,06,94531
38444,06,94534
501,06,94548
45753,06,94551
31,06,94573
1170,06,94575
42059,06,94582
22734,06,94597
861,06,94613
2971,06,94720
0,06,94850
1400,06,94957
9030,06,95010
6025,06,95046
86703,06,95076
29592,06,95117
32560,06,95118
57780,06,95122
3702,06,90010
50288,06,90024
47967,06,90025
37898,06,90029
102433,06,90201
38535,06,90031
28085,06,90035
52951,06,90063
40759,06,93635
12727,06,93640
10873,06,93646
10896,06,93647
1383,06,93653
34723,06,93657
33000,06,93703
26980,06,93725
56406,06,93436
1013,06,93441
795,06,93452
975,06,93518
13476,06,94517
32525,06,94545
16368,06,94556
8677,06,94574
35102,06,94583
899,06,94586
52299,06,94601
