,substation,x,y,division,town,trans_feeders,subtrans_feeders,dist_feeders,banks,rated voltage,rated mva,circuits,customers served,age,v1,v2,v3,mva1,mva2,mva3,mva4,mva5,v1_bigger,total_rated_MW,sum_feeders
81,67 STATION 67,-8762358.564,5306743.969,West,Amherst,0.0,2.0,2.0,2.0,['34.5/4.16'],['3.75'],4.0,902.0,1958-01-20,34.5,4.16,0.0,3.75,0.0,0.0,0.0,0.0,True,1.4005056000000002,2.0
82,68 ELMWOOD,-8780582.083,5298553.171,West,Buffalo,0.0,4.0,10.0,4.0,['23/4.16'],['2.5'],14.0,6180.0,1967-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,5.9515872000000005,9.0
83,71 S. NEWFANE,-8758700.765,5347311.323,West,Newfane,0.0,2.0,2.0,1.0,['34.4/5.04'],['3.75/4.688'],4.0,1344.0,2010-03-05,34.4,5.04,0.0,3.75,4.688,0.0,0.0,0.0,True,2.326416,2.0
84,74 MILITARY,-8781157.846,5312255.859,West,Tonawanda,0.0,7.0,6.0,1.0,['23/4.16'],"['2.5', '2.5/3.12', '3']",13.0,3787.0,2003-12-30,23.0,4.16,0.0,2.5,3.12,0.0,0.0,0.0,True,4.82976,6.0
85,76 SHAWNEE,-8776575.848,5333708.635,West,Cambria,2.0,0.0,4.0,1.0,['115/13.8'],['12/16/20'],6.0,5813.0,1975-01-01,115.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,12.482975999999999,5.0
86,77 EAST AVE,-8779835.372,5315069.503,West,Tonawanda,0.0,4.0,5.0,2.0,['23/4.16'],['4.725'],9.0,2340.0,1998-07-01,23.0,4.16,0.0,4.725,0.0,0.0,0.0,0.0,True,2.85792,5.0
87,78 FASSETT ST.,-8779056.736,5317470.585,West,North Tonawanda,2.0,7.0,8.0,1.0,"['115/23', '115/23/4.16']","['15', '15/20', '25', '30/40/50', '7.5']",17.0,5260.0,1968-09-05,115.0,23.0,0.0,15.0,0.0,0.0,0.0,0.0,True,8.12864,8.0
88,79 RIDGE ST.,-8780422.674,5319272.129,West,North Tonawanda,0.0,3.0,6.0,3.0,['23/4.16'],['2.5'],9.0,2728.0,1958-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,3.6330528,5.0
89,80 EIGHTH STREET,-8800124.282,5325959.304,West,Niagara Falls,0.0,3.0,5.0,3.0,['12/4.16'],['3.5'],8.0,1972.0,1951-01-01,12.0,4.16,0.0,3.5,0.0,0.0,0.0,0.0,True,2.1091200000000003,3.0
90,81 BEACH AVE,,,West,Niagara Falls,0.0,6.0,7.0,3.0,['12/4.16'],['3.5'],13.0,3076.0,1949-01-01,12.0,4.16,0.0,3.5,0.0,0.0,0.0,0.0,True,5.1930944,7.0
