,substation,division,town,trans_feeders,subtrans_feeders,dist_feeders,banks,rated voltage,rated mva,circuits,customers served,age,v1,v2,v3,mva1,mva2,mva3,mva4,mva5,v1_bigger,total_rated_MW,sum_feeders,_merge
581,PROSPECT HILL,East,Waterford,1.0,0.0,2.0,1.0,115/13.8,12//16/20/24,3.0,4405.0,1974-01-01,115.0,13.8,0.0,12.0,,16.0,20.0,24.0,True,,,left_only
582,QUAIL HOLLOW,East,Bethlehem,0.0,1.0,1.0,1.0,34.5/4.8,2.5,2.0,216.0,1991-01-01,34.5,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,,,left_only
583,QUEENSBURY,East,Queensbury,3.0,4.0,8.0,1.0,115/13.8,12/16/20,15.0,7468.0,1969-05-01,115.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,,,left_only
584,QUEENSBURY,East,Queensbury,3.0,4.0,8.0,1.0,115/13.8,12/16/20,0.0,7468.0,1969-05-01,115.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,,,left_only
585,QUEENSBURY,East,Queensbury,3.0,4.0,8.0,1.0,115/34.5/4.8,30,0.0,7468.0,1969-05-01,115.0,34.5,4.8,30.0,0.0,0.0,0.0,0.0,True,,,left_only
586,RANDALL RD,East,Ballston,0.0,1.0,2.0,1.0,34.5/13.2,5,3.0,1016.0,2009-10-01,34.5,13.2,0.0,5.0,0.0,0.0,0.0,0.0,True,,,left_only
587,RANDALL RD,East,Ballston,0.0,1.0,2.0,2.0,13.2/4.8,2.5,0.0,1016.0,2009-10-01,13.2,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,,,left_only
588,RAQUETTE LAKE,Central,Long Lake,0.0,1.0,1.0,3.0,46/4.8,0.33,2.0,540.0,1959-01-01,46.0,4.8,0.0,0.33,0.0,0.0,0.0,0.0,True,,,left_only
589,RAYBROOK ES,Central,North Elba,1.0,0.0,2.0,1.0,115/13.8,15/20/25,3.0,1817.0,1992-01-01,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,,,left_only
590,RENSSELAER,East,Rensselaer,0.0,4.0,2.0,1.0,34.5/13.8,12.5,6.0,3730.0,1988-01-01,34.5,13.8,0.0,12.5,0.0,0.0,0.0,0.0,True,,,left_only
591,REYNOLDS RD,East,North Greenbush,7.0,0.0,8.0,1.0,115/13.8,15/20/25,15.0,5294.0,1988-08-19,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,1.9360439999999997,1.0,both
592,REYNOLDS RD,East,North Greenbush,7.0,0.0,8.0,1.0,115/13.8,15/20/25,0.0,5294.0,1988-08-19,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,1.9360439999999997,1.0,both
593,REYNOLDS RD,East,North Greenbush,7.0,0.0,8.0,1.0,345/115/13.2,400/448,0.0,5294.0,1988-08-19,345.0,115.0,13.2,400.0,448.0,0.0,0.0,0.0,True,1.9360439999999997,1.0,both
594,RICHMOND,West,Richmond,0.0,1.0,3.0,1.0,34.5/13.8,7.5/9.38/10.5,4.0,3371.0,1992-01-01,34.5,13.8,0.0,7.5,9.38,10.5,0.0,0.0,True,3.9556439999999995,3.0,both
595,RIDGE ROAD,Central,Cazenovia,0.0,1.0,1.0,3.0,34.5/4.8,1,2.0,893.0,1947-05-27,34.5,4.8,0.0,1.0,0.0,0.0,0.0,0.0,True,1.248,1.0,both
596,RIFLE RANGE,East,Colonie,0.0,1.0,2.0,1.0,34.5/13.2,2.5,3.0,391.0,2006-02-01,34.5,13.2,0.0,2.5,0.0,0.0,0.0,0.0,True,,,left_only
597,RIPARIUS,East,Johnsburg,0.0,1.0,1.0,1.0,34.5/4.8,3.75/4.68,2.0,519.0,1959-10-16,34.5,4.8,0.0,3.75,4.68,0.0,0.0,0.0,True,,,left_only
598,RIPLEY,West,Ripley,0.0,2.0,2.0,1.0,34.5/4.8,3.75,4.0,1270.0,2003-01-01,34.5,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,,,left_only
599,RIVER RD,East,Schaghticoke,0.0,1.0,1.0,1.0,34.5/4.8,2.5,2.0,3.0,1949-01-01,34.5,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,,,left_only
600,RIVERSIDE,East,Albany,4.0,9.0,10.0,1.0,115/34.5/13.8,40/53.3/66.6,23.0,3937.0,2001-07-01,115.0,34.5,13.8,40.0,53.3,66.6,0.0,0.0,True,15.312131999999998,7.0,both
601,RIVERSIDE,East,Albany,4.0,9.0,10.0,1.0,115/34.5/13.8,40/53/66/74.6,0.0,3937.0,2001-07-01,115.0,34.5,13.8,40.0,53.0,66.0,74.6,0.0,True,15.312131999999998,7.0,both
602,RIVERSIDE,East,Albany,4.0,9.0,10.0,2.0,115/13.8,24/32/40,0.0,3937.0,2001-07-01,115.0,13.8,0.0,24.0,32.0,40.0,0.0,0.0,True,15.312131999999998,7.0,both
603,RIVERVIEW,Central,Black Brook,0.0,1.0,1.0,1.0,46/4.8,0.5,2.0,269.0,1949-01-01,46.0,4.8,0.0,0.5,0.0,0.0,0.0,0.0,True,,,left_only
604,ROCK CITY,Central,Little Falls,0.0,1.0,4.0,1.0,46/4.16,5.6/7,5.0,1736.0,1966-01-01,46.0,4.16,0.0,5.6,7.0,0.0,0.0,0.0,True,,,left_only
605,ROCK CITY FALLS,East,Milton,0.0,1.0,1.0,1.0,34.5/4.8/4.16,3.75,2.0,592.0,1993-01-01,34.5,4.8,4.16,3.75,0.0,0.0,0.0,0.0,True,,,left_only
606,ROCK CUT,Central,Syracuse,2.0,0.0,4.0,1.0,115/13.8,20/26/33,6.0,7550.0,1973-01-01,115.0,13.8,0.0,20.0,26.0,33.0,0.0,0.0,True,18.977244,6.0,both
607,ROME,Central,Rome,4.0,0.0,8.0,2.0,115/13.8,18/24/30,12.0,11048.0,2004-07-08,115.0,13.8,0.0,18.0,24.0,30.0,0.0,0.0,True,,,left_only
608,ROSA ROAD,East,Niskayuna,2.0,4.0,3.0,1.0,115/13.8,15/20/25,9.0,7749.0,1960-07-12,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,,,left_only
609,ROSA ROAD,East,Niskayuna,2.0,4.0,3.0,1.0,115/34.5/4.8,30/40/50,0.0,7749.0,1960-07-12,115.0,34.5,4.8,30.0,40.0,50.0,0.0,0.0,True,,,left_only
