substation,division,town,trans_feeders,subtrans_feeders,dist_feeders,banks,rated voltage,rated mva,circuits,customers served,age,v1,v2,v3,mva1,mva2,mva3,mva4,mva5,v1_bigger
NILES,Central,Skaneateles,0,1,1,1,34.4/13.8,3.75/4.69/5.25,2,1386,1974-01-01,34.4,13.8,0.0,3.75,4.69,5.25,0,0,True
NILES,Central,Skaneateles,0,1,1,1,34.4/13.8,16.8/22.4/28,0,1386,1974-01-01,34.4,13.8,0.0,16.8,22.4,28,0,0,True
NORTH ASHFORD,West,Ashford,0,2,1,1,34.5/4.8,1.5,3,227,1991-01-01,34.5,4.8,0.0,1.5,0,0,0,0,True
N. BANGOR,Central,Bangor,0,1,1,1,34.5/4.8,1.5,2,570,1961-01-01,34.5,4.8,0.0,1.5,0,0,0,0,True
NORTH BOMBAY,Central,Bombay,0,1,2,1,34.5/13.8,2.5,3,170,1975-01-01,34.5,13.8,0.0,2.5,0,0,0,0,True
NORTH CARTHAGE,Central,Wilna,3,2,3,1,115/13.8,12/22.4,8,6590,1992-01-01,115.0,13.8,0.0,12,22.4,0,0,0,True
NORTH CARTHAGE,Central,Wilna,3,2,3,1,115/23,15/20/25,0,6590,1992-01-01,115.0,23.0,0.0,15,20,25,0,0,True
N. CHAUTAUQUA,West,Chautauqua,0,2,1,1,34.5/4.8,1,3,303,1960-01-01,34.5,4.8,0.0,1,0,0,0,0,True
NORTH COLLINS,West,Brant,0,2,2,1,34.5/4.8,2.5,4,1516,1964-01-01,34.5,4.8,0.0,2.5,0,0,0,0,True
NORTH CREEK,East,Johnsburg,1,2,2,1,115/13.8/30,10/12.5,5,3373,1987-03-01,115.0,13.8,30.0,10,12.5,0,0,0,True
NORTH CREEK,East,Johnsburg,1,2,2,1,115/34.5,30/40/50,0,3373,1987-03-01,115.0,34.5,0.0,30,40,50,0,0,True
N. EDEN,West,Eden,0,1,1,1,34.5/13.8,3.75,2,1253,1976-01-01,34.5,13.8,0.0,3.75,0,0,0,0,True
NORTH GOVERNEUR,Central,Gouverneur,2,0,3,1,115/13.8/7.9,12/16/20,5,5283,1971-09-10,115.0,13.8,7.9,12,16,20,0,0,True
